,ID,Non_combust_wt_%,Organics_wt_%,Paper_and_cardboard_wt_%,Plastics_wt_%,Total_weight_(kg),aluminium_cans,aluminium_recyclable,batteries,bottles_cds,bottles_wine_and_spirits,cardboard,ceramics,drinkbags,electrical_items_and_peripherals_(incl_tvs),energy_kWh_per_kg,eps,feminine_hygiene,flexibles_film,food,hdpe_bottles,jars,lpb,nappies,other,other_glass,other_metal,other_organics,other_plastic,other_sanitary_waste,paper,pet_bottles,plastic_bags,pp,steel_cans,textiles,total_energy_kWh
95,127_V,0.982069480762047,0.0,0.0,0.017930519237952934,5.354,0.0,0.0,0.0,0.0,0.0,0.0,0.586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.0,4.672,0.0,0.0
96,128_V,0.2794117647058823,0.3051470588235294,0.029411764705882356,0.3860294117647059,1.088,0.055999999999999994,0.0,0.0,0.0,0.0,0.027999999999999997,0.0,0.0,0.0,1.35,0.0,0.0,0.14,0.0,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.332,0.1,0.0,0.004,0.162,0.0,0.0,0.248,0.0,1.47
97,129_V,0.0,0.6391437308868501,0.3241590214067278,0.03669724770642202,0.6539999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71,0.0,0.0,0.024,0.418,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0,1.77
98,130_V,0.019269776876267748,0.845841784989858,0.04665314401622718,0.08823529411764706,3.944,0.0,0.0,0.0,0.0,0.0,0.026000000000000002,0.0,0.0,0.0,2.99,0.0,0.0,0.066,2.7539999999999996,0.0,0.0,0.08800000000000001,0.5820000000000001,0.0,0.0,0.0,0.0,0.008,0.0,0.07,0.23199999999999998,0.0,0.042,0.076,0.0,11.79
99,131_V,0.4887218045112782,0.0,0.045112781954887216,0.4661654135338346,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.012,0.124,0.0,0.0,0.08199999999999999,0.0,0.0
100,132_V,0.06818181818181819,0.0,0.11363636363636365,0.8181818181818181,0.17600000000000002,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052000000000000005,0.0,0.0,0.046,0.0,0.0,0.012,0.0,0.0
101,133_V,0.04465709728867623,0.8628389154704943,0.022328548644338114,0.07017543859649121,1.254,0.055999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,0.03,1.082,0.0,0.0,0.027999999999999997,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.05,0.0,0.0,0.0,0.0,3.69
102,134_V,0.0267379679144385,0.7094474153297683,0.0,0.2638146167557932,1.122,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.04,0.752,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.044000000000000004,0.0,0.0,0.0,0.192,0.046,0.0,0.0,0.0,3.14
103,135_V,0.0,0.8581771720613287,0.11839863713798975,0.023424190800681432,4.6960000000000015,0.0,0.0,0.0,0.0,0.0,0.027999999999999997,0.0,0.0,0.0,3.06,0.0,0.0,0.044000000000000004,4.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.02,0.0,0.0,0.0,0.0,0.508,14.37
104,136_V,0.8294736842105263,0.0,0.0,0.17052631578947364,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027999999999999997,0.0,0.0,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.122,0.0,0.0,0.344,0.0,0.0
