,ID,Organics_wt_%,Paper_and_cardboard_wt_%,Plastics_wt_%,Non_combust_wt_%,Total_weight_(kg),energy_kWh_per_kg,total_energy_kWh,cardboard,paper,eps,plastic_bags,flexibles_film,other_plastic,jars,food,textiles,other_organics,aluminium_cans,steel_cans,lpb,pp,pet_bottles,nappies,aluminium_recyclable,batteries,other
67,69,0.0,0.0,0.06242274412855378,0.9375772558714462,6.4719999999999995,0.0,0.0,0.0,0.0,0.0,0.308,0.096,0.0,0.0,0.0,0.0,0.0,5.056,1.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,70,0.761570827489481,0.13639551192145863,0.0781907433380084,0.023842917251051893,11.408,2.88,32.86,0.02,0.0,0.0,0.28,0.308,0.08,0.0,0.0,1.536,8.688,0.272,0.0,0.0,0.0,0.224,0.0,0.0,0.0,0.0
69,71,0.8416047034411205,0.07418295002593808,0.06985993429016082,0.014352412242780563,23.132000000000005,3.0,69.4,0.288,0.0,0.0,1.372,0.1,0.068,0.0,9.656,1.428,9.66,0.264,0.0,0.0,0.0,0.076,0.152,0.0,0.0,0.068
70,72,0.9220183486238531,0.003931847968545216,0.04685452162516383,0.02719528178243774,12.208,3.02,36.87,0.0,0.0,0.0,0.244,0.068,0.02,0.0,2.214,0.048,9.042,0.332,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0
71,73,0.6835775202274219,0.19177782637218457,0.08834463153291058,0.03630002186748305,18.292,2.73,49.94,0.316,0.0,0.0,0.476,0.924,0.0,0.0,0.0,3.192,12.504,0.356,0.124,0.0,0.0,0.216,0.0,0.0,0.0,0.184
72,74,0.9458856345885635,0.0,0.04686192468619247,0.007252440725244072,14.34,3.09,44.31,0.0,0.0,0.0,0.252,0.144,0.0,0.0,0.0,0.0,13.564,0.104,0.0,0.0,0.0,0.276,0.0,0.0,0.0,0.0
73,75,0.8831377592027004,0.07726517708835663,0.028237689546160852,0.011359374162781974,37.326,3.04,113.47,0.028,0.0,0.0,0.0,0.562,0.124,0.0,0.3,2.856,32.664,0.424,0.0,0.0,0.0,0.368,0.0,0.0,0.0,0.0
74,76,0.04369349978476108,0.0,0.02948773138183383,0.926818768833405,9.292,0.14,1.3,0.0,0.0,0.0,0.274,0.0,0.0,0.0,0.0,0.0,0.406,8.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,77,0.0,0.0,0.10008779631255488,0.8999122036874451,4.556,0.0,0.0,0.0,0.0,0.0,0.456,0.0,0.0,0.0,0.0,0.0,0.0,2.64,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,78,0.9323120769504809,0.0,0.049875311720698264,0.017812611328820806,11.228,3.05,34.25,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,10.468,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
