,ID,Organics_wt_%,Paper_and_cardboard_wt_%,Plastics_wt_%,Non_combust_wt_%,Total_weight_(kg),energy_kWh_per_kg,total_energy_kWh,eps,plastic_bags,pet_bottles,pp,flexibles_film,other_plastic,feminine_hygiene,cardboard,drinkbags,nappies,hdpe_bottles,paper,aluminium_cans,jars,other_organics,food,lpb,aluminium_recyclable,steel_cans,other_sanitary_waste,textiles,other,bottles_wine_and_spirits,bottles_cds,other_metal,other_glass
93,94,0.691712204007286,0.02185792349726776,0.24681238615664844,0.03961748633879781,2.196,2.74,6.02,0.063,0.03,0.032,0.014,0.043,0.03,0.248,0.048,0.004,0.668,0.326,0.0,0.0,0.0,0.0,0.603,0.0,0.0,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,95,0.7219941348973606,0.06275659824046922,0.12199413489736073,0.09325513196480939,1.705,2.67,4.55,0.0,0.085,0.057,0.0,0.066,0.0,0.255,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.976,0.0,0.0,0.159,0.0,0.07,0.0,0.0,0.0,0.0,0.0
95,96,0.7015761821366023,0.04028021015761821,0.10858143607705778,0.1495621716287215,2.8550000000000004,2.51,7.17,0.0,0.102,0.138,0.0,0.07,0.0,1.312,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.156,0.535,0.115,0.003,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,97,0.860613810741688,0.023657289002557542,0.10805626598465476,0.0076726342710997444,1.5639999999999998,3.04,4.75,0.007,0.037,0.07,0.012,0.0,0.017,0.0,0.0,0.0,0.0,0.026,0.037,0.0,0.0,1.346,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,98,0.013212221304706853,0.15772089182493806,0.6209744013212221,0.20809248554913298,1.2109999999999999,0.07,0.08,0.157,0.163,0.211,0.039,0.144,0.0,0.0,0.0,0.0,0.0,0.038,0.142,0.02,0.065,0.016,0.0,0.049,0.029,0.0,0.0,0.0,0.138,0.0,0.0,0.0,0.0
98,99,0.6849557522123894,0.12495575221238939,0.19008849557522123,0.0,2.825,2.81,7.94,0.0,0.12,0.0,0.035,0.165,0.0,1.255,0.0,0.0,0.0,0.217,0.079,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.274,0.0,0.0,0.0,0.0,0.0
99,100,0.43001186239620404,0.011862396204033215,0.36298932384341637,0.1951364175563464,1.6859999999999997,1.84,3.1,0.0,0.127,0.031,0.033,0.055,0.0,0.0,0.0,0.0,0.203,0.366,0.02,0.018,0.0,0.178,0.344,0.0,0.0,0.063,0.0,0.0,0.0,0.248,0.0,0.0,0.0
100,101,0.5158699808795411,0.10439770554493308,0.15105162523900575,0.22868068833652005,2.6149999999999998,2.02,5.28,0.051,0.0,0.117,0.05,0.101,0.076,0.0,0.15,0.0,0.72,0.0,0.016,0.0,0.413,0.0,0.629,0.107,0.0,0.145,0.0,0.0,0.04,0.0,0.0,0.0,0.0
101,102,0.5048030739673391,0.2569644572526417,0.18900096061479346,0.04923150816522575,4.164,2.28,9.49,0.046,0.318,0.24,0.006,0.107,0.07,1.076,0.691,0.0,0.0,0.0,0.281,0.0,0.12,0.013,1.013,0.01,0.0,0.085,0.0,0.088,0.0,0.0,0.0,0.0,0.0
102,103,0.16517524235645042,0.46532438478747207,0.18791946308724833,0.18158090976882924,2.682,0.85,2.28,0.025,0.198,0.123,0.046,0.082,0.03,0.221,0.0,0.0,0.0,0.0,0.868,0.0,0.0,0.0,0.222,0.0,0.012,0.045,0.0,0.38,0.048,0.0,0.382,0.0,0.0
